	featureid	taxonomy	kingdom	phylum	class	order	family	genus	species
1048	otu1049	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(98);Ruminococcaceae_UCG-013(94);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-013	
1049	otu1050	Bacteria(100);Actinobacteria(100);Thermoleophilia(100);Solirubrobacterales(100);Solirubrobacteraceae(100);uncultured(100);	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	uncultured	
1050	otu1051	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Propionibacteriales(100);Nocardioidaceae(100);Nocardioides(100);	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
1051	otu1052	Bacteria(100);Actinobacteria(100);Actinobacteria(100);Propionibacteriales(100);Nocardioidaceae(100);Nocardioides(100);	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	
1052	otu1053	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_vadinBB60_group(100);Clostridiales_vadinBB60_group_ge(100);	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_vadinBB60_group	Clostridiales_vadinBB60_group_ge	
1053	otu1054	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Angelakisella(53);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Angelakisella	
1054	otu1055	Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Xanthomonadales(100);Xanthomonadaceae(100);Stenotrophomonas(100);	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	
1055	otu1056	Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);uncultured(98);	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	
1056	otu1057	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);GCA-900066225(62);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	GCA-900066225	
1057	otu1058	Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Ruminiclostridium(47);	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	
1058	otu1059	Bacteria(100);Patescibacteria(100);Saccharimonadia(100);Saccharimonadales(100);Saccharimonadales_fa(100);Saccharimonadales_ge(100);	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadales_fa	Saccharimonadales_ge	
